iter	Passed	Remaining
0	139	139591
1	140	70123
2	141	46922
3	141	35313
4	142	28355
5	143	23718
6	144	20446
7	144	17971
8	145	16041
9	146	14504
10	147	13251
11	148	12189
12	148	11285
13	149	10512
14	149	9844
15	150	9259
16	151	8750
17	152	8295
18	152	7889
19	153	7518
20	154	7190
21	155	6893
22	155	6624
23	156	6374
24	157	6142
25	158	5937
26	159	5736
27	159	5553
28	160	5385
29	161	5225
30	162	5071
31	162	4928
32	163	4794
33	164	4671
34	165	4556
35	165	4443
36	166	4336
37	167	4239
38	168	4150
39	169	4061
40	170	3977
41	170	3893
42	171	3814
43	172	3740
44	172	3670
45	173	3604
46	174	3539
47	175	3475
48	176	3416
49	176	3358
50	177	3303
51	178	3251
52	179	3201
53	179	3151
54	180	3104
55	181	3058
56	182	3016
57	183	2977
58	184	2938
59	185	2900
60	186	2866
61	187	2830
62	187	2793
63	188	2758
64	189	2725
65	190	2692
66	191	2660
67	191	2629
68	192	2598
69	193	2568
70	194	2540
71	195	2514
72	195	2488
73	196	2462
74	197	2440
75	198	2413
76	199	2386
77	199	2361
78	200	2337
79	201	2315
80	202	2292
81	202	2269
82	203	2243
83	204	2224
84	204	2203
85	205	2182
86	206	2162
87	206	2142
88	207	2123
89	208	2108
90	209	2089
91	209	2070
92	210	2052
93	211	2034
94	211	2017
95	212	1999
96	213	1983
97	213	1967
98	214	1952
99	215	1938
100	216	1923
101	216	1908
102	217	1894
103	218	1881
104	219	1867
105	219	1853
106	220	1839
107	221	1825
108	221	1812
109	222	1800
110	223	1791
111	224	1781
112	225	1770
113	226	1758
114	226	1746
115	227	1734
116	228	1721
117	228	1711
118	229	1700
119	230	1691
120	231	1681
121	232	1669
122	232	1658
123	233	1648
124	234	1638
125	234	1629
126	235	1618
127	236	1608
128	236	1599
129	237	1590
130	238	1581
131	238	1571
132	239	1561
133	240	1552
134	240	1543
135	241	1536
136	242	1527
137	243	1519
138	243	1510
139	244	1501
140	245	1495
141	246	1486
142	246	1479
143	247	1472
144	248	1464
145	248	1456
146	249	1449
147	250	1441
148	251	1434
149	251	1426
150	252	1419
151	253	1412
152	253	1405
153	254	1398
154	255	1391
155	256	1385
156	256	1379
157	257	1372
158	258	1365
159	258	1358
160	259	1351
161	260	1346
162	261	1342
163	262	1336
164	262	1330
165	263	1323
166	264	1317
167	264	1311
168	265	1305
169	266	1299
170	266	1294
171	267	1289
172	268	1283
173	269	1278
174	269	1272
175	270	1267
176	271	1261
177	271	1255
178	272	1250
179	273	1245
180	274	1241
181	275	1236
182	275	1231
183	276	1226
184	277	1220
185	277	1215
186	278	1210
187	279	1205
188	279	1200
189	280	1196
190	281	1191
191	282	1187
192	282	1182
193	283	1177
194	284	1173
195	284	1168
196	285	1164
197	286	1159
198	286	1154
199	287	1149
200	287	1144
201	288	1139
202	289	1135
203	289	1131
204	290	1127
205	291	1123
206	292	1119
207	292	1114
208	293	1110
209	293	1105
210	294	1101
211	295	1097
212	295	1092
213	296	1088
214	297	1085
215	297	1081
216	298	1077
217	299	1073
218	299	1069
219	300	1065
220	300	1060
221	301	1056
222	302	1052
223	302	1049
224	303	1045
225	304	1042
226	305	1039
227	305	1035
228	306	1032
229	307	1029
230	308	1026
231	308	1022
232	309	1019
233	310	1016
234	311	1013
235	312	1010
236	312	1007
237	313	1004
238	314	1000
239	314	996
240	315	993
241	316	990
242	316	986
243	317	983
244	317	979
245	318	976
246	319	973
247	320	970
248	320	967
249	321	964
250	322	961
251	322	958
252	323	955
253	324	952
254	324	948
255	325	945
256	326	942
257	326	939
258	327	936
259	328	934
260	329	931
261	329	928
262	330	925
263	331	922
264	331	920
265	332	917
266	333	914
267	333	911
268	334	909
269	335	906
270	335	903
271	336	900
272	337	898
273	337	895
274	338	892
275	339	889
276	339	886
277	340	884
278	341	882
279	342	879
280	342	877
281	343	874
282	344	871
283	344	869
284	345	866
285	346	863
286	346	861
287	347	858
288	348	856
289	348	853
290	349	851
291	350	848
292	350	846
293	351	843
294	352	841
295	352	839
296	353	836
297	354	834
298	354	831
299	355	829
300	356	826
301	356	824
302	357	822
303	358	820
304	358	817
305	359	815
306	360	813
307	361	811
308	361	808
309	362	806
310	363	804
311	363	802
312	364	800
313	365	798
314	365	795
315	366	793
316	367	791
317	368	789
318	368	786
319	369	784
320	369	782
321	370	780
322	371	778
323	372	776
324	372	774
325	373	772
326	374	770
327	374	767
328	375	765
329	376	763
330	376	761
331	377	759
332	378	757
333	379	755
334	379	753
335	380	751
336	381	749
337	381	747
338	382	745
339	383	743
340	383	741
341	384	739
342	384	737
343	385	735
344	386	733
345	387	731
346	387	729
347	388	727
348	389	725
349	389	723
350	390	721
351	390	719
352	391	717
353	392	715
354	392	713
355	393	712
356	394	710
357	394	708
358	395	706
359	396	704
360	396	702
361	397	700
362	398	699
363	399	697
364	399	695
365	400	693
366	401	692
367	402	690
368	403	689
369	403	687
370	404	685
371	405	684
372	406	682
373	406	680
374	407	679
375	408	677
376	409	675
377	409	674
378	410	672
379	410	670
380	411	668
381	412	667
382	413	665
383	413	663
384	414	662
385	415	660
386	415	658
387	416	657
388	417	655
389	417	653
390	418	651
391	419	650
392	419	648
393	420	646
394	421	645
395	421	643
396	422	641
397	423	640
398	423	638
399	424	637
400	425	635
401	425	633
402	426	631
403	427	630
404	427	628
405	428	626
406	429	625
407	429	623
408	430	621
409	430	620
410	431	618
411	432	617
412	433	615
413	433	613
414	434	612
415	434	610
416	435	608
417	436	607
418	436	605
419	437	604
420	438	603
421	439	601
422	439	600
423	440	598
424	441	597
425	441	595
426	442	593
427	443	592
428	443	590
429	444	589
430	445	587
431	446	586
432	446	585
433	447	583
434	448	582
435	448	580
436	449	578
437	450	577
438	450	575
439	451	574
440	451	572
441	452	571
442	453	569
443	453	568
444	454	566
445	455	565
446	455	563
447	456	562
448	456	560
449	457	559
450	458	558
451	459	556
452	459	555
453	460	553
454	461	552
455	461	550
456	462	549
457	463	547
458	463	546
459	464	544
460	464	543
461	465	542
462	466	540
463	466	539
464	467	537
465	468	536
466	468	535
467	469	533
468	470	532
469	470	530
470	471	529
471	471	527
472	472	526
473	473	524
474	473	523
475	474	521
476	474	520
477	475	519
478	476	518
479	476	516
480	477	515
481	478	514
482	479	512
483	479	511
484	480	509
485	480	508
486	481	507
487	482	506
488	483	504
489	483	503
490	484	502
491	485	500
492	485	499
493	486	498
494	486	496
495	487	495
496	488	494
497	488	492
498	489	491
499	490	490
500	490	488
501	491	487
502	492	486
503	492	484
504	493	483
505	493	481
506	494	480
507	494	479
508	495	478
509	496	476
510	497	475
511	497	474
512	498	473
513	499	471
514	499	470
515	500	469
516	500	467
517	501	466
518	502	465
519	502	464
520	503	462
521	504	461
522	504	460
